sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,option_templates,absolute_price,absolute_cost,absolute_weight,hide_additional_product_price,shareable_link,sku_policy,custom_option_id,custom_option_title,custom_option_type,custom_option_is_required,custom_option_price,custom_option_price_type,custom_option_sku,custom_option_sort_order,custom_option_file_extension,custom_option_image_size_x,custom_option_image_size_y,custom_option_max_characters,custom_option_group_id,custom_option_mageworx_title,custom_option_mageworx_option_price,custom_option_option_title_id,custom_option_dependency,custom_option_dependency_type,custom_option_is_hidden,custom_option_one_time,custom_option_qty_input,custom_option_description,custom_option_mageworx_option_gallery,custom_option_mageworx_option_image_mode,custom_option_div_class,custom_option_selection_limit_from,custom_option_selection_limit_to,custom_option_sku_policy,custom_option_is_swatch,custom_option_customer_group,custom_option_store_view,custom_option_is_all_groups,custom_option_is_all_websites,custom_option_disabled,custom_option_disabled_by_values,custom_option_row_id,custom_option_row_title,custom_option_row_price,custom_option_row_price_type,custom_option_row_sku,custom_option_row_sort,custom_option_row_group_id,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
test,,Default,simple,"Default Category/Gear/Bags",base,test,,,,1,"Taxable Goods","Catalog, Search",100.000000,,,,test,test,test,"test ",,,,,,,,,"6/27/20, 10:55 AM","6/27/20, 11:05 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,123.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,0,0,0,0,,use_config,16,Size,drop_down,1,,fixed,,1,,,,,,"store_id=0,title=Size",,,,0,0,0,0,,0,0,,0,0,use_config,0,,,1,1,0,0,23,S,1.000000,fixed,test-s,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,M,2.000000,fixed,test-m,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,L,3.000000,fixed,test-l,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,XL,4.000000,fixed,test-xl,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Color,radio,1,,fixed,,2,,,,,,"store_id=0,title=Color",,,,0,0,0,0,,0,0,,0,0,use_config,0,,,1,1,0,0,27,Yellow,0.000000,fixed,test-yellow,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,White,0.000000,fixed,test-white,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,Black,0.000000,fixed,test-black,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Blue,0.000000,fixed,test-blue,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Accessories,checkbox,1,,fixed,,3,,,,,,"store_id=0,title=Accessories",,,,0,0,0,0,,0,0,,0,0,use_config,0,,,1,1,0,0,31,Bag,10.000000,fixed,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Case,15.000000,fixed,,2,,,,,,,,,,,,
