entity_id,name,url_key,is_active,parent_id,path,level,description
1,Root Catalog,,,0,1,0,
3,Default Category,default-category,1,1,1/3,1,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;Camouflage kilts have a class of their own. They can be transformed into beautiful and classy kilts so we did it elegantly. We have designed our camo kilts for men in a way you would love and prefer. Choose your kilts with confidence on&amp;nbsp;your best kilt store "" The Utility Kilt""&lt;br&gt;Choose the waist size and we will make a &lt;strong&gt;perfect Camo kilt&lt;/strong&gt; for you to be confident and bold.&lt;/p&gt;
&lt;p&gt;&amp;nbsp;&lt;/p&gt;
&lt;p&gt;The Utility Kilt is offering&amp;nbsp;the best quality at a cheap rate&lt;strong&gt; &lt;a href=""https://theutilitykilt.com/urban-camo-tactical-utility-kilt.html"" target=""_blank"" rel=""noopener""&gt;Camouflage Kilts&lt;/a&gt;, &lt;/strong&gt;Camouflage kilt also know as&amp;nbsp;&lt;strong&gt;&amp;nbsp;&lt;/strong&gt;Camo Kilts, and TUK Camo Kilts are made with high-quality printed Camouflage cloth. These kilts are particular types of printed kilts. Camo Kilt best for hunting purposes or for highlands games.&amp;nbsp;&lt;/p&gt;</div>"
4,Outfits,kilt-outfits,1,3,1/3/4,2,"<style>#html-body [data-pb-style=C9EQY74]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""C9EQY74""></div></div>"
5,Jackets,kilt-jackets,1,3,1/3/5,2,"<style>#html-body [data-pb-style=MU3FAKM]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""MU3FAKM""><div data-content-type=""text"" data-appearance=""default"" data-element=""main""><p>A kilt looks good for everyday wear, but when it comes to attending an event, the simple kilt shirt can feel too plain. A kilt jacket changes the whole outfit's look and feel the moment it settles on your shoulders. Adding a jacket to your kilt gives you a neat and clean look. At The Utility Kilt™, we make custom kilt jackets that complete your outfit and help you feel confident in the way you look.</p></div></div></div>"
6,Sporrans,sporrans,1,48,1/3/48/6,3,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;No kilt outfit is complete without the iconic sporran. This traditional accessory will stand out on any kind of kilt and makes the entire kilt outfit standout. This small accessory is a classic item which has been used since kilts have been around. We have a big variety of sporrans including very traditionally styled sporrans and more modern versions as well. These items are made with a variety of materials ranging from natural animal hides to classic leathers and decorated with silverware. Choose from our wide range of sporrans and find yourself the perfect match for your traditional, utility or tartan kilt outfit. &lt;/p&gt;
</div>"
8,Bagpipes,bagpipes-for-sale,1,100,1/3/48/100/8,4,"<style>#html-body [data-pb-style=RUD55EV]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""RUD55EV""><div data-content-type=""text"" data-appearance=""default"" data-element=""main""><p>At The Utility Kilt™, you will feel real craftsmanship in every bagpipe we make. We make each set from seasoned rosewood and finish it with tartan wraps that hold true Scottish craftsmanship. When you lift a pipe set, you feel the emotion of tradition and the comfort of something made with care. Our bagpipes collection gives you that same experience. If you’re looking for authentic bagpipes from Scotland, you’re in the right place.</p></div></div></div>"
9,Kilts,kilts,1,3,1/3/9,2,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;We offering top-quality modern custom-made Kilts. Our quality kilts are tailor-made to give you a modern look. We specialize in manufacturing a customized and perfect-fitting kilt that will fit your budget. Our kilts are as perfect as you are. &lt;br&gt;Our impressive selection of kilts allow our esteemed customers to be as creative as they want with their personalized kilts. Down to choose the color, design, pattern, and measurements, the choice is yours! Browse through our collection now. We have a wide range of &lt;span style=""text-decoration: underline;""&gt;&lt;a title=""Mens Utility Kilts"" href=""https://theutilitykilt.com/mens-utility-kilt""&gt;Mens Utility Kilts&lt;/a&gt;&lt;/span&gt;, &lt;span style=""text-decoration: underline;""&gt;&lt;a title=""Tartan kilts"" href=""https://theutilitykilt.com/tartan-kilt-men""&gt;Tartan kilts&lt;/a&gt;&lt;/span&gt;, &lt;span style=""text-decoration: underline;""&gt;&lt;a title=""Leather kilts"" href=""https://theutilitykilt.com/leather-kilt-mens""&gt;Leather kilts&lt;/a&gt;&lt;/span&gt;, and &lt;span style=""text-decoration: underline;""&gt;&lt;a title=""Hybrid kilts"" href=""https://theutilitykilt.com/hybrid-kilt""&gt;Hybrid kilts&lt;/a&gt;&lt;/span&gt;.&amp;nbsp;&lt;/p&gt;</div>"
10,Kilts For Men ,mens-kilts,1,9,1/3/9/10,3,"<style>#html-body [data-pb-style=XMXTGGW]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""XMXTGGW""></div></div>"
11,Womens Kilts,women-kilts,1,9,1/3/9/11,3,"<style>#html-body [data-pb-style=RVV9CPD],#html-body [data-pb-style=TYML8QD]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""RVV9CPD""><div data-content-type=""text"" data-appearance=""default"" data-element=""main""><p>Kilts for women have stepped out of the past and found a strong place in modern style. Many women now choose women's Scottish kilts because they want clothing that holds its shape, sits well on the waist, and stays comfortable through the day. At The Utility Kilt™, we offer a wide range of short kilt designs and mini skirts that are made from breathable fabric that sit smoothly on your waist and hold their shape through a full day. The fabric follows your stride with ease, so the kilt never weighs you down. Since we cut each piece to your measurements, the fit feels natural and secure the moment you wear it.</p>
<p>&nbsp;</p></div></div></div><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""TYML8QD""></div></div>"
12,Kilt for Kids,baby-kilts,1,9,1/3/9/12,3,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;Kilts are the most loved traditional Scottish outfit by the men and women of all ages. Even babies now a day's love to wear the traditional baby kilts to look classy at school or playground. That is why we the utility kilt has designed the traditional utility kilts &amp;amp; tartan kilts for your little champs. &lt;br /&gt;We designed our utility kilts for babies with the view in mind of their daily little activities from studying and playing in the ground. We make sure they feel comfortable in our special designed baby kilts.&lt;/p&gt;</div>"
