sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,giftcard_type,giftcard_allow_open_amount,giftcard_open_amount_min,giftcard_open_amount_max,giftcard_amount,use_config_is_redeemable,giftcard_is_redeemable,use_config_lifetime,giftcard_lifetime,use_config_allow_message,giftcard_allow_message,use_config_email_template,giftcard_email_template,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels,errors
utk-uk-018-dup,,Default,simple,"UTK- Category/Kilts/Kilts For Men/Utility Kilts ,UTK- Category,UTK- Category/Kilts/Kilts For Men,UTK- Category/Sale,UTK- Category/Kilts,UTK- Category/Gothic Kilt,UTK- Category/Black Kilts",base,"Mens Black Utility kilt with Chains - Gothic Kilt","<h2>Men's Black Utility Kilt With Chains</h2>
<p>Mens Black Utility kilt with Chains is a versatile garment that gives you a stylish look. It comes with a decorated front that gives it a trendy design. All the hardware material used during its manufacturing is rust-free and of good quality. It is available in various colours, so you can get a kilt in that colour which you want to wear. Mens Black Gothic Kilt comes with a flat apron that is adorned with chains and D-rings. It has snap buttons and adjustable leather straps on the waistline area for a better and secure fit. A D-ring strap is made on both sides and is used to hang chains to add modernity to its design. It is functional, and D-rings are connected to each of the belt loops for external attachments. It features detachable pockets on either side that are hanging with the help of fish hooks. These pockets allow you to carry your daily used items like Cell phones, wallets, and Keys. A pleated pattern is made on the back for a classic touch and ease of mobility. Black Kilt with Detachable Pockets is fashioned with 100 % pure Cotton. It is handmade, and we offer it in various sizes at a discounted price. It would be a good option to wear at Casual parties, Wedding events, and Formal occasions. Order now to add modern Scottish attire to your wardrobe.</p>
<h3>Design and Specifications</h3>
<ul>
<li>Material: 100% Cotton.</li>
<li>Fabric: Drill Jeans.</li>
<li>Style: Gothic.</li>
<li>Front Apron: Fully plain.</li>
<li>Backside: Pleated Design.</li>
<li>Pockets: flapped with buttons.</li>
<li>Decoration: buckles, straps, studs, eyelets, buttons, D rings, silver chains, gothic fish hook.</li>
<li>Hardware: Rust Free.</li>
<li>Colours: All colours.</li>
<li>Availability: All sizes.</li>
</ul>
<h3>Size and Measurement:</h3>
<p>If your waist size has an even number, such as 30, 32, or 36, order your correct size. In other cases, order one larger size for a better, more comfortable fit. If you prefer a tighter fit, order one size smaller than yours. Please order one size larger or your exact size for tapered slim-fit kilts because it will fit you more than the regular ones. If you don’t know your size or are confused about size measurement, we offer <a href=""https://utilitykilt.co.uk/size-chart-for-kilt-measurment"">Kilt Measuring Guide</a> for ease. Please read the instructions carefully; it will help you determine the size that fits you properly</p>
<h3>Customization:</h3>
<p>If you want to order a kilt in a particular size, Tartan, or Colour that is not shown in our list, then you can email us or contact us through the Chat Box or Call to get a perfect kilt that will match your preferences.</p>
<p><strong>Note:</strong></p>
<ul>
<li>If you order a kilt whose waist size is less than 26, then this is not possible to add pockets in this selected design due to the size limitations. So please remember it while ordering.</li>
<li>In some cases, the colour shade may vary between the patterns. We try our best to deliver the product in the same colour as in the picture on our website. If a few changes happen, we request some shade fluctuation.</li>
</ul>",,1.7,1,0,"Catalog, Search",66.36,46.6021,10/16/21,,black-utility-kilt-with-chains,"Men's Black Utility kilt with Chains - Gothic Kilt - UTK",,"Black Utility Kilt comes with stylish silver chain. Men's Black Gothic kilt is great addition for fashion lovers. Perfect utility kilt made with cotton",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,983,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tctk-uk-003,,Default,simple,"UTK- Category,UTK- Category/Kilts/Kilts For Men/Tactical Kilts,UTK- Category/Kilts/Kilts For Men,UTK- Category/Sale,UTK- Category/Kilts",base,"Woodland Camo Tactical Kilt - Men's Army Camo Utility Kilt","<h2>Woodland Camo Tactical Kilt&nbsp;</h2>
<p><strong> Woodland Camo Tactical Kilt</strong> is a must-have for any wardrobe that combines classic design with modern materials. It has a unique camo print that is associated with the US Army. It comes with all the necessary elements that a man wants to go for outdoor activities. The front of the kilt is simple and shows the whole print of the fabric. It has a rust-free button on the waistline to fasten the kilt properly. Two adjustable straps give the wearer a perfect and adjustable fit. It has spacious pockets on both sides of the kilt, providing ample space for your accessories. So you can go anywhere with your daily used items that the button flaps will secure. It has a deep pleated design on the back for a traditional look and ease of movement.<br><strong>Army US Tactical Kilt</strong> is fashioned with premium quality Cotton. We offer it in various sizes at a reasonable price. It comes in different camo fabrics, so choosing one that matches your style and personality is easy. It gives wearers both functionality and comfort. Wearing it for Urban travels, Adventures, and other physical activities like games would be a good choice. It is handmade and a masterpiece of our craftsmen. Order now to add a modern Scottish flair to your dressing.</p>
<p><strong>Design and Specifications:</strong></p>
<ul>
<li>Material: Cotton.</li>
<li>Style: Modern.</li>
<li>Fabric: Drill Jeans.</li>
<li>Type: Fashion/Casual.</li>
<li>Front Apron: Plain.</li>
<li>Backside: Pleated design.</li>
<li>Pleats: Camo Fabric.</li>
<li>Availability: All sizes</li>
</ul>
<p><strong>Size and Measurement:</strong></p>
<p>If your waist size has an even number, such as 30, 32, or 36, order your correct size. In other cases, order one larger size for a better, more comfortable fit. If you prefer a tighter fit, order one size smaller than yours. Please order one size larger or your exact size for tapered slim-fit kilts because it will fit you more than the regular ones. If you don’t know your size or are confused about size measurement, we offer <strong><a href=""https://utilitykilt.co.uk/size-chart-for-kilt-measurment"">Kilt Measuring Guide</a></strong></p>
<p><strong>Customization:</strong></p>
<p>If you want to order a kilt in a particular size or colour that is not shown in our list, then you can email us or contact us through the Chat Box or Call to get a perfect kilt that will match your preferences.</p>
<p><strong>Note:</strong></p>
<ul>
<li>If you order a kilt whose waist size is less than 26, then this is not possible to add pockets in this selected design due to the size limitations. So please remember it while ordering.</li>
<li>In some cases, the colour shade may vary between the patterns. We try our best to deliver the product in the same colour as in the picture on our website. If a few changes happen, we request some shade fluctuation</li>
</ul>",,0.7,1,0,"Catalog, Search",64.31,46.93,10/16/21,,woodland-camo-army-tactical-utility-kilt,"Woodland Camo Tactical Kilt - Men's Army Camo Utility Kilt - UTK",,"Woodland Camo Tactical Kilt is fashioned with top-quality cotton, ensuring its durability and longevity. It has buttons and adjustable straps for a perfect fit.",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,995,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hbutk-uk-018,,Default,simple,"UTK- Category,UTK- Category/Kilts/Kilts For Men/Utility Kilts ,UTK- Category/Kilts/Kilts For Men/Hybrid Kilt ,UTK- Category/Kilts/Kilts For Men,UTK- Category/Sale,UTK- Category/Kilts",base,"Pride Rainbow Hybrid Kilt","<div data-content-type=""html"" data-appearance=""default"" data-element=""main""><h2>Pride Rainbow Hybrid Kilt</h2>
<p><strong> Pride Rainbow Hybrid Kilt </strong>is specially manufactured for LGBT community. This kilt is perfect for your wardrobe that matches your taste. This kilt is designed with multi-coloured strips that run throughout the garments. On the front side, a large eye-catching red detachable pocket is used for storing your items like wallet, money, etc. This pocket is attached with a snap button for securing fit. Two classic leather straps are sewn on the front corner to adjust the kilt with 1 '2'' inches with a side buckle.</p>
<p><strong> Rainbow Pride hybrid kilt </strong> has red belt loops for holding the belt, which makes the kilt comfortable. On the front waistline, four buttons are used for fastening the kilt. The back and side are sewn with pleated designs which match the overall awesome colour scheme. These pleats provide comfortable freedom of movement. We provide 100% quality material that is durable for a lifetime. This kilt is the perfect choice for formal casual events or occasions. Our main aim is to satisfy our customers by giving them a reasonable price. So place your order now.</p>
<p><strong> Design and Specifications: </strong></p>
<ul>
<li>Material: Cotton.</li>
<li>Style: Utility.</li>
<li>Fabric: Drill jeans.</li>
<li>Type: Fashion / Casual.</li>
<li>Front Apron: Plain with Detachable pocket.</li>
<li>Backside: Pleated design</li>
<li>Hardware: Button, Buckle.</li>
<li>Colour: All colours available</li>
<li>Availability: All sizes</li>
</ul>
<p><strong>Size and Measurement:</strong></p>
<p>If your waist size has an even number, such as 30, 32, or 36, order your correct size. In other cases, order one larger size for a better, more comfortable fit. If you prefer a tighter fit, order one size smaller than yours. Please order one size larger or your exact size for tapered slim-fit kilts because it will fit you more than the regular ones. If you don’t know your size or are confused about size measurement, we offer <strong><a href=""https://utilitykilt.co.uk/size-chart-for-kilt-measurment"">Kilt Measuring Guide</a></strong></p>
<p><strong>Customization:</strong></p>
<p>If you want to order a kilt in a particular size, Colour that is not shown in our list, then you can email us or contact us through the Chat Box or Call to get a perfect kilt that will match your preferences.</p>
<p><strong>Note:</strong></p>
<ul>
<li>If you order a kilt whose waist size is less than 26, then this is not possible to add pockets in this selected design due to the size limitations. So please remember it while ordering.</li>
<li>In some cases, the colour shade may vary between the patterns. We try our best to deliver the product in the same colour as in the picture on our website. If a few changes happen, we request some shade fluctuation.</li>
</ul></div>",,0.7,1,0,"Catalog, Search",58.776,46.926,7/14/22,,pride-rainbow-hybrid-kilt,"Pride Rainbow Hybrid Kilt - UTK",,"Pride Rainbow Hybrid Kilt made with rainbow colour combination. U-shaped pockets with leather straps are used. Buy this attractive rainbow kilt.",2/27/20,,"Product Info Column",,,,No,,,,,,,"Use config",,994,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tctk-uk-001,,Default,simple,"UTK- Category,UTK- Category/Kilts/Kilts For Men/Tactical Kilts,UTK- Category/Kilts/Kilts For Men,UTK- Category/Sale,UTK- Category/Kilts",base,"Urban Camo Tactical Utility Kilt","<h2><strong>Urban Camo Tactical Utility Kilt</strong></h2>
<strong> Urban Camo Utility Kilt</strong> is specially designed for hard-working men. It features an attractive camo print that is suitable for hunters and soldiers. It has a decorated front that looks amazing. Fastening buttons on the top of the kilt offer comfortable fitting. It is functional as well and comes with buttoned flapped pockets. These pockets have enough space for your belongings. You can safely carry your Cell phone, Wallet, and Keys inside because a button secures it. A pleated pattern on the back of the kilt gives comfort during movement. It also contains a flap on its back that gives it a modern style and a classic pleated design.<br><strong>Urban Camo Kil</strong>t is fabricated with pure quality durable Cotton. It is available in all sizes at an affordable price. It is suitable for demanding jobs and outdoor activities. It is versatile, and you can use it for various complex jobs. You can wear it during physical activities. It is also an excellent choice to have a military look. Order now to get a kilt that comes with handmade features.</p>
<p><strong>Design and Specifications:</strong></p>
<ul>
<li>Material: Cotton.</li>
<li>Style: Modern.</li>
<li>Fabric: Drill Jeans.</li>
<li>Type: Fashion/Casual.</li>
<li>Front Apron: Decorated with studs</li>
<li>Backside: Pleated design.</li>
<li>Availability: All sizes.</li>
</ul>
<p><strong>Size and Measurement:</strong></p>
<p>If your waist size has an even number, such as 30, 32, or 36, order your correct size. In other cases, order one larger size for a better, more comfortable fit. If you prefer a tighter fit, order one size smaller than yours. Please order one size larger or your exact size for tapered slim-fit kilts because it will fit you more than the regular ones. If you don’t know your size or are confused about size measurement, we offer <strong><a href=""https://utilitykilt.co.uk/size-chart-for-kilt-measurment"">Kilt Measuring Guide</a></strong></p>
<p><strong>Customization:</strong></p>
<p>If you want to order a kilt in a particular size that is not shown in our list, then you can email us or contact us through the Chat Box or Call to get a perfect kilt that will match your preferences.</p>
<p><strong>Note:</strong></p>
<ul>
<li>If you order a kilt whose waist size is less than 26, then this is not possible to add pockets in this selected design due to the size limitations. So please remember it while ordering.</li>
<li>In some cases, the colour shade may vary between the patterns. We try our best to deliver the product in the same colour as in the picture on our website. If a few changes happen, we request some shade fluctuation</li>
</ul>",,0.7,1,0,"Catalog, Search",77.42,61.62,10/16/21,,urban-camo-tactical-utility-kilt,"Urban Camo Utility Kilt | A Perfect Kilt for Active Men |UTK",,"Urban Camo Utility Kilt is specially designed for rough and tough use. It is available in all sizes at a low price. It is a good choice for outdoor activities.",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,998,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tctk-uk-002,,Default,simple,"UTK- Category,UTK- Category/Kilts/Kilts For Men/Tactical Kilts,UTK- Category/Kilts/Kilts For Men,UTK- Category/Kilts",base,"Army Camo Utility Tactical Kilt","<h2>Army Camo Utility Tactical Kilt</h2>
<p><strong>Army Camo Utility Tactical Kilt</strong> is perfect for the person who is always busy in their daily routine work. It also shows their great attachment to the military due to its impressive camo print. It is also a good choice for outdoor enthusiasts. It features a simple front apron and a pleated pattern on the back of the kilt that shows association with its traditional design. It has buttons on the top of the front for a perfect fit for the wearers. For comfortable adjustment, two leather straps below the waistband area on its right. It has large pockets on both sides, making it suitable for carrying your everyday essentials. <br><strong>Army Camo Kilt</strong> is made with heavy-duty Cotton that assures its durability and longevity. All the hardware material is rust-free and long-lasting. You can get it in your desired size and camo fabric at an excellent price. Whether working at home or doing complex tasks, you can wear it for these demanding jobs. You can wear it during different games and physical activities like hunting. Due to its quality and delicate stitching, you can also wear it daily. Order now to get something unique that will fit your needs.</p>
<p><strong>Design and Specifications:</strong></p>
<ul>
<li>Material: Cotton.</li>
<li>Style: Modern.</li>
<li>Fabric: Drill Jeans.</li>
<li>Type: Fashion/Casual.</li>
<li>Front Apron: Plain.</li>
<li>Backside: Pleated design.</li>
<li>Pleats: Camo Fabric.</li>
<li>Availability: All sizes</li>
</ul>
<p><strong>Size and Measurement:</strong></p>
<p>If your waist size has an even number, such as 30, 32, or 36, order your correct size. In other cases, order one larger size for a better, more comfortable fit. If you prefer a tighter fit, order one size smaller than yours. Please order one size larger or your exact size for tapered slim-fit kilts because it will fit you more than the regular ones. If you don’t know your size or are confused about size measurement, we offer <strong><a href=""https://utilitykilt.co.uk/size-chart-for-kilt-measurment"">Kilt Measuring Guide</a></strong></p>
<p><strong>Customization:</strong></p>
<p>If you want to order a kilt in a particular size or colour that is not shown in our list, then you can email us or contact us through the Chat Box or Call to get a perfect kilt that will match your preferences.</p>
<p><strong>Note:</strong></p>
<ul>
<li>If you order a kilt whose waist size is less than 26, then this is not possible to add pockets in this selected design due to the size limitations. So please remember it while ordering.</li>
<li>In some cases, the colour shade may vary between the patterns. We try our best to deliver the product in the same colour as in the picture on our website. If a few changes happen, we request some shade fluctuation</li>
</ul>",,0.7,1,0,"Catalog, Search",66.68,,,,army-camo-utility-tactical-kilt-for-men,"Army Camo Utility Tactical Kilt | High-quality Cotton is Used",,"Army Camo Utility Tactical Kilt is a fully functional kilt that shows attachments with the military. It is available at a low price and is perfect for busy men.",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,997,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hbtck-uk-004,,Default,simple,"UTK- Category,UTK- Category/Kilts/Kilts For Men/Tactical Kilts,UTK- Category/Kilts/Kilts For Men/Hybrid Kilt ,UTK- Category/Kilts/Kilts For Men,UTK- Category/Sale,UTK- Category/Kilts",base,"Woodland Camouflage Hybrid Kilt","<h2>Woodland Camouflage Hybrid Kilt</h2>
<p><strong> Olive Green And Woodland Camouflage Hybrid Kilt </strong> is perfect for those who want a kilt with style and substances. This fantastic kilt is specially designed with 100% cotton and camo material. This kilt has a simple, olive green apron that looks decent. On the back and side of the kilt, camo pleats are sewn that show love to their forces and country. These pleats also give comfortable movement on rough and challenging jobs. Three nylon straps with a plastic buckle on the side of the kilt for a comfortable fit. There are two cargo pockets on either side for storing essentials like cell phones and wallets. </p>
<p> There is one more small pocket on this flap pocket, whose purpose is to save the coin or money. Two large nylon loops on both sides are attached with a lobster clasp for hanging the chain and keys. You can choose your fabric colour, which can match your taste. We use rust-free hardware material in this kilt. This kilt is best for cultural events, military functions, or occasions. Our main motive is to give our customers quality kilts at a lower price. So get your order now. </p>
<p><strong> Design and Specifications: </strong></p>
<ul>
<li> Material: Cotton </li>
<li> Style: Utility.</li>
<li> Type: Modern </li>
<li> Front Apron: Plain </li>
<li> Backside: Pleated design </li>
<li> Hardware: Button, Nylon strap, Plastic buckle, D-ring </li>
<li> Colour: All colours available </li>
<li> Availability: All sizes. </li>
</ul>
<p><strong>Size and Measurement:</strong></p>
<p>If your waist size has an even number, such as 30, 32, or 36, order your correct size. In other cases, order one larger size for a better, more comfortable fit. If you prefer a tighter fit, order one size smaller than yours. Please order one size larger or your exact size for tapered slim-fit kilts because it will fit you more than the regular ones. If you don’t know your size or are confused about size measurement, we offer <strong><a href=""https://utilitykilt.co.uk/size-chart-for-kilt-measurment"">Kilt Measuring Guide</a></strong></p>
<p><strong>Customization:</strong></p>
<p>If you want to order a kilt in a particular size, Colour that is not shown in our list, then you can email us or contact us through the Chat Box or Call to get a perfect kilt that will match your preferences.</p>
<p><strong>Note:</strong></p>
<ul>
<li>If you order a kilt whose waist size is less than 26, then this is not possible to add pockets in this selected design due to the size limitations. So please remember it while ordering.</li>
<li>In some cases, the colour shade may vary between the patterns. We try our best to deliver the product in the same colour as in the picture on our website. If a few changes happen, we request some shade fluctuation</li>
</ul>",,0.7,1,0,"Catalog, Search",65.096,50.086,10/16/21,,woodland-camouflage-hybrid-kilt,"Woodland Camouflage Hybrid Kilt - Best Quality Low Prices - UTK",,"Woodland Camouflage Hybrid Kilt in a two tone pattern. Olive green Apron accompanied with woodland camouflage. New Collection available at Utilitykilt",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,996,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tctk-uk-007- blk",,Default,simple,"UTK- Category,UTK- Category/Kilts/Kilts For Men/Tactical Kilts,UTK- Category/Kilts/Kilts For Men,UTK- Category/Sale,UTK- Category/Kilts",base,"Black Combat Tactical Utility kilt","<h2>Black Combat Tactical Utility kilt</h2>
<p><strong>Black Combat Tactical Utility Kilt</strong> comes in a unique and attractive design to make it perfect for service members. It is suitable for the whole day wear and gives wearers comfort due to its quality material. The front of the kilt has a detachable apron that is decorated with studs. It has wide belt loops, while the D-rings are connected with front belt loops for functionality. It has snap buttons on the top-front for a perfect and comfortable fit.<br>It has a trouser and flapped pockets on both sides that provides extra space for your valuable items like Cell phones, Keys and a Wallet. <br>It also gives you easy access to your items that are secured by a buttoned flap. A pleated pattern is made on the back, which not only gives you a traditional look but also helps with easy movement.<br><strong>Black Combat Tactical Utility Kilt</strong> is fabricated with pure quality Cotton, which assures its durability and longevity. It is available in all sizes at an excellent price. We also offer a customization option so that you can select the colour of your choice. You can wear it during Outdoor activities, Tough Jobs like construction and others. It is also suitable for Working in the gardens and your daily use. It is handmade and gives you a unique personality in your working environment. Order now.</p>
<p><strong>Design and Specifications:</strong></p>
<ul>
<li>Material: Cotton.</li>
<li>Style: Modern.</li>
<li>Fabric: Drill Jeans</li>
<li>Type: Fashion/Casual.</li>
<li>Front Apron: Plain.</li>
<li>Backside: Pleated design</li>
<li>Pleats: Drill jeans Fabric.</li>
<li>Availability: All sizes</li>
</ul>
<p><strong>Size and Measurement:</strong></p>
<p>If your waist size has an even number, such as 30, 32, or 36, order your correct size. In other cases, order one larger size for a better, more comfortable fit. If you prefer a tighter fit, order one size smaller than yours. Please order one size larger or your exact size for tapered slim-fit kilts because it will fit you more than the regular ones. If you don’t know your size or are confused about size measurement, we offer&nbsp;<strong><a href=""https://utilitykilt.co.uk/size-chart-for-kilt-measurment"">Kilt Measuring Guide</a></strong></p>
<p><strong>Customization:</strong></p>
<p>If you want to order a kilt in a particular size or colour that is not shown in our list, then you can email us or contact us through the Chat Box or Call to get a perfect kilt that will match your preferences.</p>
<p><strong>Note:</strong></p>
<ul>
<li>If you order a kilt whose waist size is less than 26, then this is not possible to add pockets in this selected design due to the size limitations. So please remember it while ordering.</li>
<li>In some cases, the colour shade may vary between the patterns. We try our best to deliver the product in the same colour as in the picture on our website. If a few changes happen, we request some shade fluctuation</li>
</ul>",,0.7,1,0,"Catalog, Search",65.096,46.136,10/16/21,,black-combat-tactical-utility-kilt,"Black Combat Tactical Utility kilt",,"Black Combat Tactical Utility kilt is designed for tough jobs & comfortable for working. Side Pockets to hold accessories & tools. Get at Sale Price",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,984,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tctk-uk-007- blk",en_gb,Default,simple,,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tctk-uk-007-grey,,Default,simple,"UTK- Category,UTK- Category/Kilts/Kilts For Men/Tactical Kilts,UTK- Category/Kilts/Kilts For Men,UTK- Category/Sale,UTK- Category/Kilts",base,"Grey Combat Tactical Utility Kilt","<h2>Grey Combat Tactical Utility Kilt</h2>
<p><strong>Grey Combat Tactical Utility Kilt</strong> is specially designed for the person who wants a truly crafted kilt for work. It features an exceptional design that attracts the eyes of the viewers. The kilt's front apron is flat and adorned with buttons for a stylish look. It has wide belt loops, while the D-rings are connected with two front loops. You can hang your keys or any other lightweight items while working. It has slash and large flapped pockets on both sides of the kilt. These pockets provide enough storage for your daily used items like a Wallet, Cell phone, and Keys. A pleated pattern on the back of the kilt offers freedom of movement and a classic design.<br><strong>Grey Combat Kilt</strong> is fabricated with high-quality Cotton. The hardware material used is free of rust and good quality. You can get it your size at an affordable price. Whether you are going for an outing with friends, it is suitable for you. It can also be worn for daily use, for different sports events, and for complicated jobs. Our priority is to deliver a quality product for the customer's satisfaction. You can get it in various fabric colors to wear a unique kilt. Order now to change your dressing during work, either in the office or the construction field.</p>
<p><strong>Design and Specifications:</strong></p>
<ul>
<li>Material: Cotton.</li>
<li>Style: Modern.</li>
<li>Fabric: Drill Jeans</li>
<li>Type: Fashion/Casual.</li>
<li>Front Apron: Plain.</li>
<li>Backside: Pleated design</li>
<li>Pleats: Drill jeans Fabric.</li>
<li>Availability: All sizes</li>
</ul>
<p><strong>Size and Measurement:</strong></p>
<p>If your waist size has an even number, such as 30, 32, or 36, order your correct size. In other cases, order one larger size for a better, more comfortable fit. If you prefer a tighter fit, order one size smaller than yours. Please order one size larger or your exact size for tapered slim-fit kilts because it will fit you more than the regular ones. If you don’t know your size or are confused about size measurement, we offer <strong><a href=""https://utilitykilt.co.uk/size-chart-for-kilt-measurment"">Kilt Measuring Guide</a></strong></p>
<p><strong>Customization:</strong></p>
<p>If you want to order a kilt in a particular size or colour that is not shown in our list, then you can email us or contact us through the Chat Box or Call to get a perfect kilt that will match your preferences.</p>
<p><strong>Note:</strong></p>
<ul>
<li>If you order a kilt whose waist size is less than 26, then this is not possible to add pockets in this selected design due to the size limitations. So please remember it while ordering.</li>
<li>In some cases, the colour shade may vary between the patterns. We try our best to deliver the product in the same colour as in the picture on our website. If a few changes happen, we request some shade fluctuation</li>
</ul>",,0.7,1,0,"Catalog, Search",75.05,61.62,6/30/22,,grey-combat-tactical-utility-kilt,"Grey combat utility tactical kilt | Perfect kilt for Active Men",,"Grey Combat Utility Tactical Kilt comes with a buttoned front and pleated rear. We offer it at a reasonable price. It offers durability & functionality.",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,998,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tctk-uk-005,,Default,simple,"UTK- Category,UTK- Category/Kilts/Kilts For Men/Tactical Kilts,UTK- Category/Kilts/Kilts For Men,UTK- Category/Sale,UTK- Category/Kilts",base,"Camouflage Highlander Kilt","<h2>Camouflage Highlander Kilt</h2>
<p><strong>CamouFlage Highlander Kilt</strong> is an excellent kilt that is a symbol of boldness and fearless style. It is designed for those who want a military twist in their outfits. It is handmade and comes with customization, so you can select your camo prints that suit your personality. <strong>CamouFlage Highlander Kilt</strong> features a flat apron with snap buttons on the top for a perfect and comfortable fit. It has two buckle straps below the waistline area that allow some adjustment. Large flapped pockets are made on either side of a kilt, which provides enough storage for your daily used items like Cell phones, wallets, and Keys. It has a pleated pattern on the back, which shows its attachment to the Highlander design. It also helps with easy movement during tough activities. A button flap is also designed on the rear, which adds modernity to its design. <strong>CamouFlage Highlander Kilt</strong> is crafted with high-quality Cotton material. We offer it in all sizes at a reasonable price. Our main motive is to deliver quality products that are made to meet the customer’s needs. It is suitable to wear at Casual outings, Military events, and many others. Order now to add a unique Scottish flair to your dressing.</p>
<p><strong>Design and Specifications:</strong></p>
<ul>
<li>Material: Cotton.</li>
<li>Style: Modern.</li>
<li>Fabric: Drill Jeans.</li>
<li>Type: Fashion/Casual.</li>
<li>Front Apron: Plain.</li>
<li>Backside: Pleated Design.</li>
<li>Pleats: Camo Fabric.</li>
<li>Availability: All Sizes</li>
</ul>
<p><strong>Size and Measurement:</strong></p>
<p>If your waist size has an even number, such as 30, 32, or 36, order your correct size. In other cases, order one larger size for a better, more comfortable fit. If you prefer a tighter fit, order one size smaller than yours. Please order one size larger or your exact size for tapered slim-fit kilts because it will fit you more than the regular ones. If you don’t know your size or are confused about size measurement, we offer<strong><a href=""https://utilitykilt.co.uk/size-chart-for-kilt-measurment"">Kilt Measuring Guide</a></strong>&nbsp;for ease. Please read the instructions carefully; it will help you determine the size that fits you properly</p>
<p><strong>Customization:</strong></p>
<p>If you want to order a kilt in a particular size, Tartan, or Colour that is not shown in our list, then you can email us or contact us through the Chat Box or Call to get a perfect kilt that will match your preferences.</p>
<p><strong>Note:</strong></p>
<ul>
<li>If you order a kilt whose waist size is less than 26, then this is not possible to add pockets in this selected design due to the size limitations. So please remember it while ordering.</li>
<li>In some cases, the colour shade may vary between the patterns. We try our best to deliver the product in the same colour as in the picture on our website. If a few changes happen, we request some shade fluctuation.</li>
</ul>
<p>&nbsp;</p>",,0.7,1,0,"Catalog, Search",65.1,48.51,10/16/21,,camouflage-highlander-kilt,"Camouflage Highlander Kilt - All Combat Kilts are Available - UTK",,"Camouflage Highlander Kilt for a unique look. Front apron is plain with button fastening. For Adjustment same material straps are available on the side.",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,993,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
