"%1 %2","%1 %2"
"%1 - %2","%1 - %2"
"%1 amount of %2 via Stripe. Transaction ID: %3","%1 amount of %2 via Stripe. Transaction ID: %3"
"%1 could not be captured online because it was already captured via Stripe. Capturing %1 offline instead.","%1 could not be captured online because it was already captured via Stripe. Capturing %1 offline instead."
"%1 could not be captured online because this cart includes subscriptions which are trialing. Capturing %1 offline instead.","%1 could not be captured online because this cart includes subscriptions which are trialing. Capturing %1 offline instead."
"%1 every %2 %3","%1 every %2 %3"
"%1 every %2","%1 every %2"
"%1 out of %2 could not be refunded online. Creating an offline refund instead.","%1 out of %2 could not be refunded online. Creating an offline refund instead."
"%1 payments of %2","%1 payments of %2"
"%1 was already captured via Stripe. The invoice was in Pending status, likely because a webhook could not be delivered to your website. Capturing %1 offline instead.","%1 was already captured via Stripe. The invoice was in Pending status, likely because a webhook could not be delivered to your website. Capturing %1 offline instead."
"%1 •••• %2","%1 •••• %2"
"-- Disabled --","-- Disabled --"
"-- Please select a template --","-- Please select a template --"
"/ %1 %2","/ %1 %2"
"/ %1","/ %1"
"1 payment of %1","1 payment of %1"
"A Stripe subscription has been paid, but the shipping method '%1' from order #%2 is no longer available. We will use new shipping method '%3' to create a recurring subscription order.","A Stripe subscription has been paid, but the shipping method '%1' from order #%2 is no longer available. We will use new shipping method '%3' to create a recurring subscription order."
"A dispute %1 has been opened for %2 with the reason %3.","A dispute %1 has been opened for %2 with the reason %3."
"A partial dispute of %1 was lost. To better reflect the transactions in Stripe, manual offline credit memos can be created for the order.","A partial dispute of %1 was lost. To better reflect the transactions in Stripe, manual offline credit memos can be created for the order."
"A partial payment of %1 was received. Please invoice the order manually.","A partial payment of %1 was received. Please invoice the order manually."
"A payment is pending for this order.","A payment is pending for this order."
"A payment method has been saved against the order.","A payment method has been saved against the order."
"A refund of %1 has been processed in Stripe.","A refund of %1 has been processed in Stripe."
"A refund of %1 has failed.","A refund of %1 has failed."
"A refund of %1 is pending via Stripe. The credit memo will be updated when the refund is confirmed.","A refund of %1 is pending via Stripe. The credit memo will be updated when the refund is confirmed."
"A refund of %1 was issued via Stripe, but a Credit Memo could not be created.","A refund of %1 was issued via Stripe, but a Credit Memo could not be created."
"A refund of %1 was issued via Stripe, but the amount is bigger than the order amount.","A refund of %1 was issued via Stripe, but the amount is bigger than the order amount."
"A refund of %1 was issued via Stripe, but the amount is different than the order amount.","A refund of %1 was issued via Stripe, but the amount is different than the order amount."
"A refund of %1 was issued via Stripe, but the amount is smaller than the order amount.","A refund of %1 was issued via Stripe, but the amount is smaller than the order amount."
"A refund of %1 was issued via Stripe, but the currency is different than the order currency.","A refund of %1 was issued via Stripe, but the currency is different than the order currency."
"A refund of %1 was issued via Stripe, but the invoice amount is different than the refund amount.","A refund of %1 was issued via Stripe, but the invoice amount is different than the refund amount."
"A refund of %1 was issued via Stripe, but the invoice is already canceled.","A refund of %1 was issued via Stripe, but the invoice is already canceled."
"A refund of %1 was issued via Stripe, but the invoice is not paid.","A refund of %1 was issued via Stripe, but the invoice is not paid."
"A refund of %1 was issued via Stripe, but the order already has a credit memo.","A refund of %1 was issued via Stripe, but the order already has a credit memo."
"A refund of %1 was issued via Stripe, but the order has multiple invoices. Please manually refund the correct invoice offline.","A refund of %1 was issued via Stripe, but the order has multiple invoices. Please manually refund the correct invoice offline."
"A refund of %1 was issued via Stripe, but the order has not yet been invoiced.","A refund of %1 was issued via Stripe, but the order has not yet been invoiced."
"A server side error has occurred. Please contact us for assistance.","A server side error has occurred. Please contact us for assistance."
"A subscription with a future start date has been created.","A subscription with a future start date has been created."
"A trialing subscription has been set up.","A trialing subscription has been set up."
"Accept / Reject Manual Review","Accept / Reject Manual Review"
"Account holder name","Account holder name"
"Adaptive Pricing","Adaptive Pricing"
"Add / Update","Add / Update"
"Add money","Add money"
"Add or update a payment method","Add or update a payment method"
"Additional info","Additional info"
"Advanced Configuration","Advanced Configuration"
"All Currencies","All Currencies"
"Allow customers to change the quantity or options of active subscriptions from the customer account section.","Allow customers to change the quantity or options of active subscriptions from the customer account section."
"Already processed in previous request.","Already processed in previous request."
"Amazon Pay","Amazon Pay"
"American Express","American Express"
"Amount charged","Amount charged"
"Amount due","Amount due"
"Amount paid: %1","Amount paid: %1"
"Amount refunded","Amount refunded"
"Amount remaining","Amount remaining"
"An error has occurred on the server. Could not redirect to Stripe Checkout.","An error has occurred on the server. Could not redirect to Stripe Checkout."
"An error has occurred. Could not redirect to Stripe Checkout.","An error has occurred. Could not redirect to Stripe Checkout."
"An error has occurred. Please contact us to complete your order.","An error has occurred. Please contact us to complete your order."
"An error occurred while adding the payment method to the subscription.","An error occurred while adding the payment method to the subscription."
"An existing payment method has been updated.","An existing payment method has been updated."
"An invoice will be sent to the customer by email, which includes a link to a Stripe hosted checkout page. The customer can click that link to fill in their card details securely.","An invoice will be sent to the customer by email, which includes a link to a Stripe hosted checkout page. The customer can click that link to fill in their card details securely."
"Apple Pay","Apple Pay"
"Apply only to virtual carts","Apply only to virtual carts"
"Apply to all carts","Apply to all carts"
"Are you sure you want to cancel the subscription update?","Are you sure you want to cancel the subscription update?"
"Are you sure you want to delete this payment method?","Are you sure you want to delete this payment method?"
"Ask for customer consent","Ask for customer consent"
"Authorization expires","Authorization expires"
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Automatic invoicing","Automatic invoicing"
"Automatic webhooks configuration","Automatic webhooks configuration"
"Available installment plans","Available installment plans"
"Bank Transfers","Bank Transfers"
"Billing Info","Billing Info"
"Button height","Button height"
"Button theme","Button theme"
"Button type","Button type"
"Buy now","Buy now"
"Cancel subscription","Cancel subscription"
"Canceled Subscriptions","Canceled Subscriptions"
"Canceled the authorization of %1 online. This amount includes %2 multishipping orders.","Canceled the authorization of %1 online. This amount includes %2 multishipping orders."
"Canceled via admin area","Canceled via admin area"
"Canceling order offline.","Canceling order offline."
"Cannot capture payment because it was created using a different currency (%1).","Cannot capture payment because it was created using a different currency (%1)."
"Cannot determine the refund amount because the credit memo is not available.","Cannot determine the refund amount because the credit memo is not available."
"Cannot place order because a payment method was not provided.","Cannot place order because a payment method was not provided."
"Cannot refund %1.","Cannot refund %1."
"Cannot resume checkout session. Please contact us for help.","Cannot resume checkout session. Please contact us for help."
"Cannot save quote because its totals are corrupted.","Cannot save quote because its totals are corrupted."
